Postal,Lat,Lon,Address
600284,1.339487653,103.7462264,284 TOH GUAN RD
600267,1.341117369,103.7447947,267 TOH GUAN RD
601286,1.338662946,103.7456695,286A TOH GUAN RD
601271,1.341898986,103.745897,271 TOH GUAN RD
600269,1.34146035,103.7456777,269 TOH GUAN RD
600270,1.341229743,103.7461194,270 TOH GUAN RD
600268,1.341866529,103.7450352,268 TOH GUAN RD
601288,1.338784593,103.7433012,288A JURONG EAST ST 21
604288,1.33972149,103.74409,288D JURONG EAST ST 21
600062,1.321499034,103.7389822,62 TEBAN GDNS RD
600063,1.321027128,103.7395144,63 TEBAN GDNS RD
600065,1.321968839,103.7392259,65 TEBAN GDNS RD
640737,1.346746007,103.7011599,737 JURONG WEST ST 75
640736,1.346111445,103.7016537,736 JURONG WEST ST 75
643667,1.341148421,103.7022957,667C JURONG WEST ST 65
643664,1.338211253,103.7031556,664C JURONG WEST ST 64
